,Molecule SMILE,Molecule keywords
805,N#CC(=Cc1sc2c(c1)sc(c2)c1cccs1)C(=O)O,thienothiophene
806,CCCCCCc1ccc(s1)c1ccc(s1)c1cc2c(s1)cc(s2)C=C(C(=O)O)C#N,thienothiophene
807,N#CC(=Cc1sc2c(c1)sc(c2)c1ccco1)C(=O)O,thienothiophene
808,N#CC(=Cc1sc2c(c1)sc(c2)c1cccn1C)C(=O)O,thienothiophene
810,N#CC(=Cc1ccc(cc1)N(CC)CC)c1ccc(s1)C=CC(=O)O,"cyanovinyl, thiophene"
812,CCCCCCOc1cc(OCCCCCC)ccc1c1ccc(cc1)N(c1ccc(cc1)c1ccc(cc1OCCCCCC)OCCCCCC)c1ccc(cc1)/C=c/1\s/c(=C(/C(=O)O)\C#N)/nc1c1ccccc1,triphenylamine
813,CCCCn1c2cc(ccc2c2c1cc(cc2)N(c1ccc(cc1)c1ccc2c(c1)C(CC)(CC)c1c2cccc1)c1ccc(cc1)c1ccc2c(c1)C(CC)(CC)c1c2cccc1)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N,carbazole
814,CCCCn1c2cc(ccc2c2c1cc(cc2)N(c1ccc(cc1)c1ccc2c(c1)C(CC)(CC)c1c2cccc1)c1ccc(cc1)c1ccc2c(c1)C(CC)(CC)c1c2cccc1)c1ccc(s1)/C=C(/C(=O)O)\C#N,carbazole
816,OC(=O)CN1C(=S)S/C(=C\c2ccc(s2)c2sc(c3c2OCCO3)c2ccc(cc2)N(c2ccccc2)c2ccccc2)/C1=O,triphenylamine
817,N#C/C(=C\c1ccc(s1)c1cc2c(s1)cc(s2)c1ccc(cc1)N(c1ccccc1)c1ccccc1)/C(=O)O,triphenylamine
818,CCCCCCc1ccc(s1)c1cc(c(s1)c1ccc(c2c1nsn2)c1sc(cc1CCCCCC)c1ccc(s1)P(=O)(O)O)CCCCCC,isoindigo
819,OC(=O)CCCCCCn1c2cc(ccc2c2c1cc(cc2)N(c1ccccc1)c1ccccc1)c1ccc(s1)c1cnccn1,carbazole
820,CCCCn1c2cc(ccc2c2c1cc(cc2)N(c1ccccc1)c1ccccc1)c1ccc(s1)c1cnccn1,carbazole
821,OC(=O)CCCCCCn1c2cc(ccc2c2c1cc(cc2)N(c1ccccc1)c1ccccc1)c1ccc(s1)c1ccncc1,carbazole
822,OC(=O)CCCCCCn1c2cc(ccc2c2c1cc(cc2)c1ccncc1)N(c1ccccc1)c1ccccc1,carbazole
823,CCCCn1c2cc(ccc2c2c1cc(cc2)N(c1ccccc1)c1ccccc1)c1ccc(s1)c1ccncc1,carbazole
824,c1ccc(cc1)N(c1ccc2c(c1)[nH]c1c2ccc(c1)c1ccc(s1)c1ccncc1)c1ccccc1,carbazole
825,CCCCn1c2cc(ccc2c2c1cc(cc2)c1ccncc1)N(c1ccccc1)c1ccccc1,carbazole
826,c1ccc(cc1)N(c1ccc2c(c1)[nH]c1c2ccc(c1)c1ccncc1)c1ccccc1,carbazole
827,CCCCn1c2cc(ccc2c2c1cc(cc2)N(c1ccccc1)c1ccccc1)c1ccc(cc1)C(=O)O,carbazole
830,OC(=O)c1ccc(cc1)c1ccc2c(c1)[nH]c1c2ccc(c1)N(c1ccccc1)c1ccccc1,carbazole
833,CCCCCC1=C2C(=C(C(=[N+]2[B-](n2c1c(C)c(c2C)/C=C(\C(=O)O)/C#N)(F)F)C)c1ccc(cc1)N(c1ccccc1)c1ccccc1)C,"carbazole,bodipy"
839,CCCCSC1=C(SCCCC)SC(=Cc2ccc(s2)c2ccc(s2)/C=C(/C(=O)O)\C#N)S1,dithiafulvalene
840,CCCCSC1=C(SCCCC)SC(=C(C(=C2SC(=C(S2)SCCCC)SCCCC)c2ccc(s2)c2ccc(s2)/C=C(/C(=O)O)\C#N)c2ccc(s2)c2ccc(s2)/C=C(/C(=O)O)\C#N)S1,dithiafulvalene
841,CCCCSC1=C(SCCCC)SC(=C(C(=C2SC(=C(S2)SCCCC)SCCCC)c2ccc(cc2)c2ccc(s2)C=C(C(=O)O)C#N)c2ccc(cc2)c2ccc(s2)C=C(C(=O)O)C#N)S1,dithiafulvalene
842,CCCCSC1=C(SCCCC)SC(=Cc2ccc(cc2)c2ccc(s2)c2ccc(cc2)/C=C(/C(=O)O)\C#N)S1,dithiafulvalene
843,CCCCSC1=C(SCCCC)SC(=C(C(=C2SC(=C(S2)SCCCC)SCCCC)c2ccc(cc2)c2ccc(s2)c2ccc(cc2)/C=C(/C(=O)O)\C#N)c2ccc(cc2)c2ccc(s2)c2ccc(cc2)/C=C(/C(=O)O)\C#N)S1,dithiafulvalene
844,CCCCSC1=C(SCCCC)SC(=C(C(=C2SC(=C(S2)SCCCC)SCCCC)c2ccc3c(c2)C(CC)(CC)c2c3ccc(c2)c2ccc(s2)/C=C(/C(=O)O)\C#N)c2ccc3c(c2)C(CC)(CC)c2c3ccc(c2)c2ccc(s2)/C=C(/C(=O)O)\C#N)S1,dithiafulvalene
845,CCCCCCCCc1cc(sc1c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)c1ccc(c2c1nsn2)c1sc(c(c1)CCCCCCCC)c1ccc(s1)c1ccc(cc1)/C=C(/C(=O)O)\C#N,triphenylamine
846,CCCCCCc1cc(sc1c1sc(cc1CCCCCC)c1sc(c(c1)CCCCCC)/C=C(\C(=O)O)/C#N)c1sc(cc1CCCCCC)c1ccc2c(c1)c1ccccc1n2CC,carbazole
847,CCCCCCn1c2ccc(cc2c2c1ccc(c2)N(c1ccc(cc1)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(cc1)OCCCCCC)N(c1ccc(cc1)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(cc1)OCCCCCC,carbazole
850,CCCCCCCCC(Cn1c2cc(C#Cc3ccc(c4c3nsn4)c3ccc(cc3)C(=O)O)c3c4c2c2c1cc(c1ccc5c(c1)c1ccccc1n5CC(CCCCCCCC)CCCCCC)c1c2c(c4ccc3)ccc1)CCCCCC,carbazole
851,CCCCCCCCC(Cn1c2cc(C#Cc3ccc(c4c3nsn4)c3ccc(cc3)C(=O)O)c3c4c2c2c1cc(c1ccc5c(c1)c1ccccc1C5(CC(CCCCCCCC)CCCCCC)CC(CCCCCCCC)CCCCCC)c1c2c(c4ccc3)ccc1)CCCCCC,carbazole
852,CCCCCCCCC(Cn1c2ccc3c4c2c2c1cc(C#Cc1ccc(c5c1nsn5)c1ccc(cc1)C(=O)O)c1c2c(c4ccc3)ccc1)CCCCCC,carbazole
854,N#CC(=Cc1ccc(cc1)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)C(=O)O,carbazole
861,CCN(c1ccc(cc1)C=C1SC(=S)N(C1=O)CC(=O)O)CC,-
862,N#C/C(=C\c1ccc(s1)c1c2cc(ccc2c(c2c1ccc(c2)C(C)(C)C)N(c1cccc2c1cccc2)c1ccccc1)C(C)(C)C)/C(=O)O,anthracene
863,N#C/C(=C\c1ccc(s1)c1ccc(s1)c1c2cc(ccc2c(c2c1ccc(c2)C(C)(C)C)N(c1cccc2c1cccc2)c1ccccc1)C(C)(C)C)/C(=O)O,anthracene
864,N#C/C(=C\c1ccc(s1)c1ccc(c2c1nsn2)c1ccc(s1)c1c2cc(ccc2c(c2c1ccc(c2)C(C)(C)C)N(c1cccc2c1cccc2)c1ccccc1)C(C)(C)C)/C(=O)O,anthracene
865,N#CC(=Cc1ccc(s1)c1ccc(cc1)N1c2ccccc2CCc2c1cccc2)C(=O)O,iminodibenzyl
866,CCCCCCc1cc(sc1c1cc(c(s1)/C=C(/C(=O)Nc1ccc(cc1)[Si](OC)(OC)OC)\C#N)CCCCCC)c1sc(cc1CCCCCC)c1sc(cc1CCCCCC)c1ccc2c(c1)c1ccccc1n2CC,carbazole
871,CCCCCCc1cc(sc1c1sc(c(c1)CCCCCC)c1sc(c(c1)CCCCCC)/C=C(/C(=O)O)\C#N)c1sc(cc1CCCCCC)c1ccc2c(c1)c1ccccc1n2CC,carbazole
872,CCCCCCc1cc(sc1c1sc(c(c1)CCCCCC)/C=C(/C(=O)Nc1ccc(cc1)C(=O)O)\C#N)c1sc(cc1CCCCCC)c1sc(cc1CCCCCC)c1ccc2c(c1)c1ccccc1n2CC,carbazole
875,CCCCCCc1ccc(s1)c1cc(c(s1)c1ccc(s1)c1ccc(s1)c1sc(cc1CCCCCC)c1ccc(s1)P(=O)(O)O)CCCCCC,isoindigo
876,CCCCCCc1ccc(s1)c1ccc(s1)c1ccc2c(c1)N(CC(CCCC)CC)C(=O)/C/2=C\1/C(=O)N(c2c1cccc2c1sc(cc1CCCCCC)c1ccc(s1)P(=O)(O)O)CC(CCCC)CC,isoindigo
877,N#CC(=Cc1ccc(s1)c1ccc(cc1)N1c2ccccc2C=Cc2c1cccc2)C(=O)O,iminostilbene
878,N#CC(=Cc1ccc(s1)C=Cc1ccc(cc1)N1c2ccccc2CCc2c1cccc2)C(=O)O,iminodibenzyl
879,N#CC(=Cc1ccc(s1)C=Cc1ccc(cc1)N1c2ccccc2C=Cc2c1cccc2)C(=O)O,iminostilbene
880,CCCCn1c2ccc(cc2c2c1ccc(c2)c1ccc2c(c1)c1cc(ccc1n2CCCC)c1sc(c2c1OCCO2)/C=C(/C(=O)O)\C#N)c1ccc2c(c1)c1cc(ccc1n2CCCC)c1ccc2c(c1)c1ccccc1n2CCCC,carbazole
881,CCCCn1c2ccc(cc2c2c1ccc(c2)c1ccc2c(c1)c1ccccc1n2CCCC)c1ccc2c(c1)c1cc(ccc1n2CCCC)c1sc(c2c1OCCO2)/C=C(/C(=O)O)\C#N,carbazole
882,CCCCn1c2ccc(cc2c2c1ccc(c2)c1sc(c2c1OCCO2)/C=C(/C(=O)O)\C#N)c1ccc2c(c1)c1ccccc1n2CCCC,carbazole
883,N#C/C(=C\c1ccc2c(n1)ccc(c2)n1c2ccc(cc2c2c1ccc(c2)OC)OC)/C(=O)O,carbazole
884,CCCCCCCCCCCCn1c2ccccc2c2c1ccc(c2)c1nc2ccc(cc2nc1c1ccc2c(c1)c1ccccc1n2CCCCCCCCCCCC)c1ccc(s1)C=C(C(=O)O)C#N,carbazole
885,CCCCCCn1c2ccccc2c2c1ccc(c2)c1nc2ccc(cc2nc1c1ccc2c(c1)c1ccccc1n2CCCCCC)c1ccc(s1)C=C(C(=O)O)C#N,carbazole
886,CCCCn1c2ccc(cc2c2c1cccc2)c1nc2cc(ccc2nc1c1ccc2c(c1)c1ccccc1n2CCCC)c1ccc(s1)C=C(C(=O)O)C#N,carbazole
887,N#CC(=Cc1ccc(s1)c1ccc2c(c1)nc(c(n2)c1ccc2c(c1)c1ccccc1n2CC)c1ccc2c(c1)c1ccccc1n2CC)C(=O)O,carbazole
888,N#C/C(=C\c1ccc(s1)c1cc2CCCN3c2c(c1)CCC3)/C(=O)O,julolidine
889,OC(=O)CN1C(=S)S/C(=C\c2cc3CCCN4c3c(c2)CCC4)/C1=O,julolidine
890,CCCCCCCCC(COc1ccc(cc1)c1cc2n(CC(CCCCCCCC)CCCCCC)c3c4c2c2c1cccc2c1c4c(c(c3)C=C(C(=O)O)C#N)ccc1)CCCCCC,perylene
891,CCCCCCC1(CCCCCC)c2cc(ccc2c2c1cc(cc2)c1sc2c(c1)n(c1c2sc(c1)/C=C(/C(=O)O)\C#N)c1ccc(cc1)OC)c1sc2c(c1)n(c1c2sc(c1)/C=C(\C(=O)O)/C#N)c1ccc(cc1)OC,fluorene
892,CCCCCCN1C(=O)/C(=C/2\c3ccc(cc3N(C2=O)CCCCCC)Br)/c2c1cc(cc2)c1ccc(s1)/C=C(/C(=O)O)\C#N,isoindigo
893,CCCCCCN1C(=O)/C(=C/2\c3ccc(cc3N(C2=O)CCCCCC)c2ccc(s2)/C=C(/C(=O)O)\C#N)/c2c1cc(cc2)c1ccc(s1)/C=C(/C(=O)O)\C#N,isoindigo
894,CN(c1ccc(cc1)C(=C(C#N)C#N)C=C(C#N)C#N)C,tetracyanoethylene
895,CCCCCCCCn1c2ccccc2c2c1ccc1c2c2c3cc(ccc3n(c2cc1)CCCCCCCC)/C=C(/C(=O)O)\C#N,carbazole
896,N#C/C(=C\c1sc2c(c1)C(c1c2sc(c1)c1ccc(s1)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)(C)C)/C(=O)O,carbazole
897,N#C/C(=C\c1sc2c(c1)C(c1c2sc(c1)c1ccc(s1)c1ccc(s1)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)(C)C)/C(=O)O,carbazole
898,CCCCCCCCc1cc(sc1c1sc2c(c1)C(c1c2sc(c1)/C=C(/C(=O)O)\C#N)(C)C)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C,carbazole
899,CCCCCCn1c2ccc(cc2c2c1cccc2)c1c(/C=C(/C(=O)O)\C#N)sc(c1c1ccc2c(c1)c1ccccc1n2CCCCCC)/C=C(/C(=O)O)\C#N,carbazole
901,CCCCn1c2cc(ccc2c2c1cc(cc2)c1ccc(s1)c1ccc2n1[B-](F)(F)[N+]1=C(C=CC1=C2c1ccc(s1)/C=C(/c1ccncc1)\C#N)c1ccc(s1)c1ccc2c(c1)n(CCCC)c1c2ccc(c1)N(c1ccccc1)c1ccccc1)N(c1ccccc1)c1ccccc1,"carbazole,bodipy, triphenylamine"
903,N#C/C(=C\c1ccc(s1)c1ccc(s1)c1ccc(cc1)N(c1ccc2c(c1)OCCO2)c1ccc2c(c1)OCCO2)/C(=O)O,triphenylamine
904,N#C/C(=C\c1cc2c(s1)cc(s2)c1ccc(s1)c1ccc(cc1)N(c1ccc2c(c1)OCCO2)c1ccc2c(c1)OCCO2)/C(=O)O,triphenylamine
905,N#C/C(=C\c1ccc(cc1)c1ccc(s1)c1ccc(cc1)N(c1ccc2c(c1)OCCO2)c1ccc2c(c1)OCCO2)/C(=O)O,triphenylamine
906,N#C/C(=C\c1sc(c2c1OCC(CO2)(C)C)c1sc(c2c1OCC(CO2)(C)C)c1ccc(cc1)N(c1ccccc1)c1ccccc1)/C(=O)O,triphenylamine
909,N#CC(=Cc1ccc(cc1)C#Cc1ccc2c(c1)n(c1ccc(cc1)C(F)(F)F)c1c2ccc(c1)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)C(=O)O,carbazole
912,N#CC(=Cc1ccc(cc1)C#Cc1ccc2c(c1)n(c1ccc(cc1)C(F)(F)F)c1c2ccc(c1)C#Cc1ccc(cc1)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)C(=O)O,carbazole
913,N#CC(=Cc1ccc(cc1)C#Cc1ccc(s1)c1ccc(s1)C#Cc1ccc(cc1)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)C(=O)O,carbazole
915,N#C/C(=C\c1ccc(s1)c1ccc(c2c1nsn2)C#Cc1ccc(cc1)N1c2ccccc2C=Cc2c1cccc2)/C(=O)O,iminostilbene
916,N#C/C(=C\c1ccc(cc1)c1ccc(c2c1nsn2)C#Cc1ccc(cc1)N1c2ccccc2C=Cc2c1cccc2)/C(=O)O,iminostilbene
917,CCCCn1c(nc2c1c1cccc3c1c1c2cccc1cc3)c1ccc(cc1)c1ccc(s1)/C=C(/C(=O)O)\C#N,pyrenoimidazole
919,CCN(c1ccc(cc1)C=C(c1ccc(s1)C=C1SC(=S)N(C1=O)CC(=O)O)C#N)CC,"cyanovinyl, thiophene"
920,CCN(c1ccc(cc1)c1nc2c([nH]1)cc(cc2)C(=O)O)CC,benzimidazole
921,CCN(c1ccc(cc1)C=C(c1ccc(s1)c1nc2c([nH]1)ccc(c2)C(=O)O)C#N)CC,"cyanovinyl, thiophene"
922,N#C/C(=C\C1=C2OC(=CC(=C2CCC1)c1ccccc1)c1ccccc1)/C(=O)O,pyranylidene
925,N#C/C(=C\C=C\C1=C2OC(=CC(=C2CCC1)c1ccccc1)c1ccccc1)/C(=O)O,pyranylidene
927,N#C/C(=C\C1=C2SC(=CC(=C2CCC1)c1ccccc1)c1ccccc1)/C(=O)O,pyranylidene
929,N#C/C(=C\C=C\C1=C2SC(=CC(=C2CCC1)c1ccccc1)c1ccccc1)/C(=O)O,pyranylidene
930,N#C/C(=C\C1=C2OC(=CC(=C2CC(C1)C(C)(C)C)c1ccccc1)c1ccccc1)/C(=O)O,pyranylidene
931,N#C/C(=C\C=C\C1=C2OC(=CC(=C2CC(C1)C(C)(C)C)c1ccccc1)c1ccccc1)/C(=O)O,pyranylidene
932,CCCCCCC(Cc1cc(sc1c1cc2c(s1)c1sc(cc1c1c2non1)c1sc(cc1CC(CCCCCC)CCCC)/C=C(/C(=O)O)\C#N)c1ccc(cc1)N(c1ccccc1)c1ccccc1)CCCC,triphenylamine
933,N#C/C(=C\c1ccc2c(c1)c1c(n2C)ccc2c1c1c3ccccc3n(c1cc2)C)/C(=O)O,carbazole
934,CCCCn1c2cc(ccc2c2c1cc(cc2)c1ccc(s1)c1ccc2n1[B-](F)(F)[N+]1=C(C=CC1=C2c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(s1)c1ccc2c(c1)n(CCCC)c1c2ccc(c1)N(c1ccccc1)c1ccccc1)N(c1ccccc1)c1ccccc1,"carbazole,bodipy, triphenylamine"
935,CCCCCCn1c2ccc(cc2c2c1ccc(c2)/C=C(/c1ccc(s1)C=C(C(=O)O)C(=O)O)\C#N)/C=C(/c1ccc(s1)C=C(C(=O)O)C(=O)O)\C#N,carbazole
937,N#C/C(=C\c1ccc(s1)c1ccc(s1)c1ccc(s1)c1ccc(cc1)N(c1ccc2c(c1)OCCO2)c1ccc2c(c1)OCCO2)/C(=O)O,triphenylamine
938,CCCCn1c2ccc(cc2c2c1ccc(c2)c1ccc(s1)c1ccc(cc1)C(=O)O)c1ccc(s1)c1ccc(cc1)C(=O)O,carbazole
939,CCCCn1c2ccc(cc2c2c1ccc(c2)c1ccc(s1)c1ccncc1)c1ccc(s1)c1ccncc1,carbazole
940,CCCCn1c2ccc(cc2c2c1ccc(c2)c1ccc(s1)c1ccc(c(c1)O)O)c1ccc(s1)c1ccc(c(c1)O)O,carbazole
941,CCCCn1c2ccc(cc2c2c1ccc(c2)c1ccc(s1)c1ccncc1)c1ccc(s1)c1ccc(cc1)C(=O)O,carbazole
942,CCCCn1c2ccc(cc2c2c1ccc(c2)c1ccc(s1)c1ccncc1)c1ccc(s1)c1ccc(c(c1)O)O,carbazole
943,CCCCn1c2ccc(cc2c2c1ccc(c2)N(c1ccccc1)c1ccccc1)c1ccc(c(c1)O)O,carbazole
944,CCCCn1c2ccc(cc2c2c1ccc(c2)N(c1ccccc1)c1ccccc1)c1ccc(s1)c1ccncc1,carbazole
953,N#C/C(=C\c1ccc(s1)C#Cc1ccc(cc1)N(C)C)/C(=O)O,"thienylethynyl,dimethylaniline"
954,N#C/C(=C\c1ccc(s1)c1ccc(s1)C#Cc1ccc(cc1)N(C)C)/C(=O)O,"thienylethynyl,dimethylaniline"
955,C1CCN(CC1)c1ccc(c2c1nsn2)/C=C/c1ccncc1,"benzothiadiazole, pyridine"
956,O1CCN(CC1)c1ccc(c2c1nsn2)/C=C/c1ccncc1,"benzothiadiazole, pyridine"
957,n1ccc(cc1)/C=C/c1ccc(c2c1nsn2)/C=C/c1ccncc1,"benzothiadiazole, pyridine"
958,CCCCn1c2ccc(cc2c2c1cccc2)/C=C/c1ccc(c2c1nsn2)/C=C/c1ccncc1,"benzothiadiazole, pyridine"
959,CCCCN1c2ccc(cc2Sc2c1cccc2)/C=C/c1ccc(c2c1nsn2)/C=C/c1ccncc1,"benzothiadiazole, pyridine"
961,CCN(c1ccc2c(c1)ccc(n2)/C=C(/C(=O)O)\C#N)CC,diethylamine
962,CCN(c1ccc(cc1)N=Nc1ccc(cc1)[N+](=O)[O-])CC,azobenzene
963,CCN(c1ccc(cc1)N=Nc1ccc(cc1OC)[N+](=O)[O-])CC,azobenzene
965,CCN(c1ccc(cc1)N=Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])CC,azobenzene
967,N#C/C(=C\c1ccc(s1)c1ccc(s1)N1CCCCC1)/C(=O)O,bisthiophene
969,CCCCN(c1ccc(s1)c1ccc(s1)/C=C/C(C(=O)O)C#N)CCCC,bisthiophene
972,CCCCN(c1ccc(s1)c1ccc(s1)/C=C/c1ccc(c[n+]1C)C(=O)[O-])CCCC,bisthiophene
976,N#CC(=Cc1ccc(s1)c1ccc(s1)C=Cc1ccc2c(c1)C(C)CC(N2C)(C)C)C(=O)O,tetrahydroquinoline
978,N#CC(=Cc1ccc(s1)c1ccc(s1)c1ccc(s1)C=Cc1ccc2c(c1)C(C)CC(N2C)(C)C)C(=O)O,tetrahydroquinoline
980,N#C/C(=C\c1cc2c(s1)c1c(s2)cc(s1)/C=C/c1ccc2c(c1)C(C)CC(N2C)(C)C)/C(=O)O,tetrahydroquinoline
985,N#CC(=Cc1ccc(s1)c1ccc2c(c1)C(C)CC(N2C)(C)C)C(=O)O,tetrahydroquinoline
987,N#CC(=Cc1ccc(s1)c1ccc(s1)c1ccc2c(c1)C(C)CC(N2C)(C)C)C(=O)O,tetrahydroquinoline
988,N#CC(=Cc1ccc(s1)c1ccc(s1)c1ccc(s1)c1ccc2c(c1)C(C)CC(N2C)(C)C)C(=O)O,tetrahydroquinoline
991,N#C/C(=C\c1cc2c(s1)c1c(s2)cc(s1)c1ccc2c(c1)C(C)CC(N2C)(C)C)/C(=O)O,tetrahydroquinoline
993,N#CC(=Cc1ccc(s1)C=Cc1ccc2c(c1)C(C)CC(N2Cc1ccccc1)(C)C)C(=O)O,tetrahydroquinoline
995,N#CC(=Cc1ccc(s1)C=Cc1ccc2c(c1)C(C)CC(N2C)(C)C)P(=O)(O)O,tetrahydroquinoline
997,CCCCCCc1cc(sc1c1ccc(cc1)/C=C(/C(=O)O)\C#N)c1ccc(cc1)N(c1ccc2c(c1)OCCO2)c1ccc2c(c1)OCCO2,triphenylamine
998,N#CC(=Cc1ccc(cc1)c1cnc(c2c1nsn2)c1ccc(s1)N(c1ccccc1)c1ccccc1)C(=O)O,triphenylamine
999,N#C/C(=C\c1ccc(s1)c1ccc(c2c1nsn2)c1ccc(cc1)N1c2ccccc2C=Cc2c1cccc2)/C(=O)O,iminostilbene
1000,N#C/C(=C\c1ccc(s1)c1ccc(cc1)N1c2ccccc2C=Cc2c1cccc2)/C(=O)O,iminostilbene
1002,CCCCCCc1cc(sc1c1sc(c(c1)CCCCCC)c1sc(c2c1OCCO2)/C=C(/C(=O)O)\C#N)c1sc2c(c1)c(c1ccc(s1)CC(CCCC)CC)c1c(c2c2ccc(s2)CC(CCCC)CC)ccs1,benzodithiophene
1003,CCCCC(Cc1ccc(s1)c1c2sc(cc2c(c2c1cc(s2)c1cc(c(s1)c1cc(c(s1)c1sc(c2c1OCCO2)/C=C(/C(=O)O)\C#N)CCCCCC)CCCCCC)c1ccc(s1)CC(CCCC)CC)c1cc(c(s1)c1cc(c(s1)c1sc(c2c1OCCO2)/C=C(\C(=O)O)/C#N)CCCCCC)CCCCCC)CC,benzodithiophene
1004,CCCCCCOc1ccc(cc1)C1(c2ccc(cc2)OCCCCCC)c2cc3c4sc(cc4C(c3cc2c2c1cc(s2)/C=C(/C(=O)O)\C#N)(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC)N(c1ccccc1)c1ccccc1,indacenodithiophene
1005,CCCCCCOc1ccc(cc1)C1(c2ccc(cc2)OCCCCCC)c2cc3c4sc(cc4C(c3cc2c2c1cc(s2)/C=C(/C(=O)O)\C#N)(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC)N(c1cccc(c1)C)c1ccc(cc1)C,indacenodithiophene
1006,CCCCCCOc1ccc(cc1)C1(c2ccc(cc2)OCCCCCC)c2cc3c4sc(cc4C(c3cc2c2c1cc(s2)/C=C(/C(=O)O)\C#N)(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC)N(c1cccc(c1)OC)c1ccc(cc1)OC,indacenodithiophene
1008,N#CC(=Cc1ccc(s1)C=Cc1ccc2c(c1)C(C)CC(N2C)(C)C)C(=O)O,tetrahydroquinoline
1010,N#CC(=Cc1ccc(s1)C=Cc1ccc(s1)C=Cc1ccc2c(c1)C(C)CC(N2C)(C)C)C(=O)O,tetrahydroquinoline
1017,N#C/C(=C\c1ccc(cc1)c1ccc(c2c1nsn2)c1ccc(cc1)N1c2ccccc2C=Cc2c1cccc2)/C(=O)O,iminostilbene
1018,N#C/C(=C\c1ccc(s1)c1ccc(s1)c1ccc(cc1)c1cc2CCCN3c2c(c1)CCC3)/C(=O)O,julolidine
1019,OC(=O)CN1C(=S)S/C(=C\c2ccc(s2)c2ccc(s2)c2ccc(cc2)c2cc3CCCN4c3c(c2)CCC4)/C1=O,julolidine
1020,CCN(c1ccc(cc1)/C=C\1/SC(=S)N(C1=O)CC(=O)O)CC,diethylamine
1021,CCN(c1ccc(c(c1)OCCCCOc1cc(ccc1N(CC)CC)/C=C(/C(=O)O)\C#N)/C=C(/C(=O)O)\C#N)CC,diethylamino
1023,N#C/C(=C\c1cc2c(s1)cc(s2)c1cc2c(s1)cc(s2)c1ccc(cc1)N(c1ccc2c(c1)OCCO2)c1ccc2c(c1)OCCO2)/C(=O)O,triphenylamine
1024,CCCCC(Cn1c2c3sc4c(c3sc2c2c1cc(s2)/C=C(\C(=O)O)/C#N)n(c1c4sc(c1)/C=C(/C(=O)O)\C#N)CC(CCCC)CC)CC,oligothiophene
1025,CCCCCCCCC(n1c2c3sc4c(c3sc2c2c1cc(s2)/C=C(\C(=O)O)/C#N)n(c1c4sc(c1)/C=C(/C(=O)O)\C#N)C(CCCCCCCC)CCCCCCCC)CCCCCCCC,oligothiophene
1026,N#C/C(=C\c1ccc(s1)c1ccc(s1)c1ccc2c(c1)C(=O)c1c2cccc1)/C(=O)O,fluorenone
1027,CCCCC1(CCCC)c2cc(ccc2c2c1cccc2)c1ccc2c(c1)C(=O)c1c2ccc(c1)c1ccc(s1)/C=C(/C(=O)O)\C#N,fluorenone
1028,CCCCC1(CCCC)c2cc(ccc2c2c1cccc2)c1ccc2c(c1)C(=O)c1c2ccc(c1)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N,fluorenone
1029,CCCCCCCCCCc1csc(n1)c1nc(c(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N)CCCCCCCCC,bithiazole
1030,CCCCCCCCCCc1nc(sc1c1cccs1)c1nc(c(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N)CCCCCCCCC,bithiazole
1031,CCCCCCCCCCc1nc(sc1c1ccc2c(c1)n(CCCC)c1c2cccc1)c1nc(c(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N)CCCCCCCCC,"bithiazole, carbazole"
1032,CCCCCCCCCCc1nc(sc1c1ccc2c(c1)C(CCCC)(CCCC)c1c2cccc1)c1nc(c(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N)CCCCCCCCC,bithiazole
1034,OC(=O)c1ccc2c(c1)[nH]c(n2)c1ccc(cc1)N(c1ccccc1)c1ccccc1,benzimidazole
1035,CCN(c1ccc(cc1)C=C(c1nc2c([nH]1)cc(cc2)C(=O)O)C#N)CC,benzimidazole
1036,N#CC(=Cc1ccc(cc1)N(c1ccccc1)c1ccccc1)c1nc2c([nH]1)cc(cc2)C(=O)O,benzimidazole
1037,N#C/C(=C\c1cc2CCCN3c2c(c1)CCC3)/C(=O)O,julolidine
1038,OC(=O)CN1C(=S)S/C(=C\c2ccc(s2)c2cc3CCCN4c3c(c2)CCC4)/C1=O,julolidine
